Datetime,Value,Temperature,Humidity,Direction,Speed,Rainfall,Pressure,PM 2.5
23/2/2023,std,8.702276466,33.10449902,131.9350985,12.80746059,1.485035349,432.4034779,34.85183067
23/2/2023,Min,17.78,0,0,0,0,0,44
23/2/2023,Max,42.78,89,315,506.94,80.01,1007.7,182
23/2/2023,25%,18.89,24,45,0,0,1000.2,52
23/2/2023,50%,22.22,64,45,0,0,1003.9,57
23/2/2023,75%,35.56,85,315,1.61,0,1004.9,88
23/2/2023,IQR,16.67,61,270,1.61,0,4.7,36
24/2/2023,Mean,24.97473754,48.96566714,68.97098124,3.574321594,0.021386653,713.2364782,100.86218
24/2/2023,std,7.038795824,34.64134946,75.95703949,14.30853572,0.278509131,454.9241245,60.85409957
24/2/2023,Min,18.89,0,0,0,0,0,50
24/2/2023,Max,40.56,95,315,144.84,18.8,1006.5,793
24/2/2023,25%,20,8,45,0,0,0.1,63
24/2/2023,50%,21.11,54,45,0,0,1003.7,71
24/2/2023,75%,28.89,84,45,1.61,0,1004.7,112
24/2/2023,IQR,8.89,76,0,1.61,0,1004.6,49
25/2/2023,Mean,27.02866233,42.67885453,149.7674892,7.674761293,0.538076071,700.4980681,90.03988716
25/2/2023,std,7.352784783,33.68045732,118.5303328,40.03779823,2.701775834,462.2619615,57.50106003
25/2/2023,Min,17.78,0,0,0,0,0,38
25/2/2023,Max,40,91,315,434.52,68.58,1010,319
25/2/2023,25%,20,2,45,0,0,6.7,55
25/2/2023,50%,25,34,90,0,0,1005.3,66
25/2/2023,75%,35,82,270,3.22,0,1007.9,101
25/2/2023,IQR,15,80,225,3.22,0,1001.2,46
26/2/2023,Mean,27.09313256,45.15815581,205.2750144,2.506470745,0.341607388,786.9135663,54.71589903
26/2/2023,std,6.890549487,27.13835986,110.4458118,11.21119593,2.633183355,418.223834,11.78208416
26/2/2023,Min,15.56,0,0,0,0,0,32
26/2/2023,Max,37.22,94,315,506.94,25.15,1012.7,91
26/2/2023,25%,20,28,45,0,0,1006.3,46
26/2/2023,50%,25.56,39,270,1.61,0,1009.2,53
26/2/2023,75%,34.44,69,270,4.83,0,1010.8,63
26/2/2023,IQR,14.44,41,225,4.83,0,4.5,17
27/2/2023,Mean,24.74237999,46.57763627,239.500105,2.365765826,0.498063828,730.2962071,76.98516393
27/2/2023,std,7.437078928,32.7203937,81.89537281,13.94878041,3.885660136,450.6716956,25.6697533
27/2/2023,Min,15.56,0,0,0,0,0,0
27/2/2023,Max,38.33,88,315,434.52,80.01,1012.9,191
27/2/2023,25%,17.78,27,270,0,0,8.7,59
27/2/2023,50%,25,43,270,0,0,1008.4,73
27/2/2023,75%,30.56,82,270,1.61,0,1009.9,84
27/2/2023,IQR,12.78,55,0,1.61,0,1001.2,25
28/2/2023,Mean,25.38483525,44.18396474,107.9262226,0.73625363,0.021805303,719.0821788,136.982404
28/2/2023,std,7.416767109,33.61846518,120.2019535,1.714926569,0.163622152,455.0432357,106.7115058
28/2/2023,Min,15.56,0,0,0,0,0,47
28/2/2023,Max,40,90,315,144.84,1.27,1011.4,487
28/2/2023,25%,19.44,1,0,0,0,6.4,78
28/2/2023,50%,25,42,45,0,0,1007,104
28/2/2023,75%,31.67,80,270,1.61,0,1009.1,134
28/2/2023,IQR,12.23,79,270,1.61,0,1002.7,56
1/3/2023,Mean,24.02200344,58.54715746,157.7433681,0.859067859,1.034010361,766.1390026,214.6952397
1/3/2023,std,8.38935233,32.26238207,129.4080165,14.72103759,7.642348392,429.2852389,138.3454497
1/3/2023,Min,16.67,0,0,0,0,0,52
1/3/2023,Max,41.67,87,315,434.52,68.58,1009.9,547
1/3/2023,25%,18.33,28,0,0,0,1002.5,86
1/3/2023,50%,19.44,81,270,0,0,1007,156
1/3/2023,75%,29.44,84,270,0,0,1008.1,353
1/3/2023,IQR,11.11,56,270,0,0,5.6,267
2/3/2023,Mean,25.45596931,48.69118598,254.9086467,1.757154396,1.180243558,746.1360527,203.6152448
2/3/2023,std,9.071408328,34.59320811,61.06390802,19.41501075,8.835410695,439.4182029,187.7586097
2/3/2023,Min,18.33,0,0,0,0,0,45
2/3/2023,Max,43.33,87,315,434.52,68.58,1009.3,712
2/3/2023,25%,18.89,20,270,0,0,9.2,75
2/3/2023,50%,20,59.5,270,0,0,1005.4,93
2/3/2023,75%,30.56,84,270,1.61,0,1007.5,329
2/3/2023,IQR,11.67,64,0,1.61,0,998.3,254
3/3/2023,Mean,21.26877784,52.76939826,259.4508261,0.302715636,2.049190875,710.4154195,111.98567
3/3/2023,std,5.738158885,36.3489608,50.40969804,8.63511764,11.58493757,457.9499986,63.8381144
3/3/2023,Min,17.22,0,0,0,0,0,48
3/3/2023,Max,42.22,88,315,434.52,80.01,1011.1,453
3/3/2023,25%,18.89,1,270,0,0,6.7,93
3/3/2023,50%,19.44,79,270,0,0,1007.3,98
3/3/2023,75%,19.44,82,270,0,0,1007.7,103
3/3/2023,IQR,0.55,81,0,0,0,1001,10
4/3/2023,Mean,25.88356513,45.11391753,241.6292428,2.534424368,1.043977273,745.0866844,132.9736575
4/3/2023,std,8.381993898,32.43901585,84.19893211,26.77409745,6.822206663,441.7326093,131.8025152
4/3/2023,Min,17.78,0,0,0,0,0,44
4/3/2023,Max,41.11,87,315,506.94,80.01,1011.6,544
4/3/2023,25%,19.44,24,270,0,0,9.7,55
4/3/2023,50%,20.56,43.5,270,0,0,1008,65
4/3/2023,75%,34.44,81,270,1.61,0,1009.3,153
4/3/2023,IQR,15,57,0,1.61,0,999.6,98
5/3/2023,Mean,30.29280737,33.13839371,230.8429868,9.178987277,0.631454173,698.6616075,63.22508348
5/3/2023,std,8.588985865,27.43916447,94.89362451,28.65218116,4.710884612,463.6971301,44.96325652
5/3/2023,Min,17.78,0,0,0,0,0,40
5/3/2023,Max,41.67,87,315,144.84,68.58,1011.3,452
5/3/2023,25%,21.11,1,270,0,0,0.1,48
5/3/2023,50%,31.67,28,270,0,0,1004.8,52
5/3/2023,75%,38.89,55,270,3.22,0,1007.4,56
5/3/2023,IQR,17.78,54,0,3.22,0,1007.3,8
6/3/2023,Mean,25.88356513,45.11391753,241.6292428,2.534424368,1.043977273,745.0866844,132.9736575
6/3/2023,std,8.381993898,32.43901585,84.19893211,26.77409745,6.822206663,441.7326093,131.8025152
